,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28
AK,-0.06393800001398545,0.004581666282337238,0.11691752910945721,0.06180513398547802,-0.18951648679073752,-0.952944531753377,-0.13354382154321143,0.12779089999060209,-0.0236359299885393,-0.03974944785919863,-0.15617733093018302,0.0518980166000371,-0.01120659937504847,0.006021849595176587,0.04564272443308721,-0.07471130157664384,0.01174043838341056,0.0034563854924564773,0.005383255624235473,-0.0025500968187826462,0.0018354702532801645,-0.0015193485022127562,0.00019967804442382094,0.00033945760693058634,0.0018580395056192575,-0.0015070769946805029,-0.0026456643198239592,-2.3738028928278524e-18
AL,0.9271076754748342,0.02276260382333842,-0.04053659893787597,-0.07398295431189925,0.046394312171426935,0.042413554467554675,-0.2214851789994971,-0.006477050058958738,-0.08442334961433909,0.006443818603841176,0.05295962614528604,-0.003802723455174491,-0.05023341552820954,-0.026933715341763104,-0.20740327089027297,-0.16926618957615797,-0.14552019698286298,0.08352831496424978,0.00930912624657716,0.004765694226405119,0.008867278855774466,-0.00997464014489523,0.022165872789066874,-0.022008074179641415,0.037772156002216624,0.013424130471467231,-0.029956196171262432,9.00799620150056e-17
AR,0.8609561143575974,-0.00802892753174954,0.1338473199302958,-0.07019742583569581,0.2001231863650024,0.021400409074581715,-0.3698767926476147,-0.03784524360158252,-0.13401390951870237,-0.007406273235187104,-0.15991122057802537,-0.0632266930777563,0.0002462871175404979,-0.009537477303148627,-0.0996217399823761,-0.08989359360924307,-0.10619713117389845,-0.030778143920357225,0.02636363419553015,0.05688042648122779,-0.07960317373688547,-0.019808538874853218,0.0693748486268963,-0.016435199832340996,0.019518923573007448,-0.005462789936749392,0.008798394973125246,2.0133283685902166e-16
AZ,0.9407940095402408,0.01664126594044028,0.04553941909551906,0.0883477713861529,0.027918693451526574,0.000825594274687024,0.16562042849789851,-0.04755398953537762,-0.006159446237944613,0.12781119258490278,0.11058745187368815,-0.09591121802529727,0.06358543317758554,-0.020259607606347218,0.1858116732275716,-0.021624133081284812,0.0006113276482675113,-0.015386357835189077,0.01700497003295541,-0.007071956821980857,-0.07724477644028159,0.012750712746710928,0.013723392317187414,0.017239493341484727,0.050793149799963175,0.15559318418664483,-0.009287305644473855,6.066623872985718e-17
CA,-0.4038499524423435,-0.009016335547713033,-0.06625322346338593,-0.008094416751227637,-0.1322729157975315,0.104859904367824,0.8859099899229425,0.0020627643066661824,0.0843542116453872,0.05472446819515387,0.11598669150673734,-0.07726240999596816,-0.033230146325683343,0.07395397062548975,0.0066494537223733335,-0.006009839341320031,0.11342269817341835,-0.05730254676568735,0.0033743743962575943,0.028945679819204848,0.02463476626845181,-0.008164738599673045,-0.016906829276884895,0.041740622036111626,0.012499051785730686,0.004379296234275199,-0.003508966324411299,8.754684399013768e-17
CO,0.01308543542368205,0.12180987455304539,-0.08060023333101565,0.798365598396351,-0.17999101837120512,-0.07311238660721517,0.40201060467459854,0.13389934722015867,0.24209391742308012,0.07221801996428338,0.11585647761399592,0.13679538924970233,0.06283192067662734,0.04839082585292234,0.2121821729675521,-0.038828002261454816,-0.01593685640444258,-0.07348991956834747,-0.04894562795195094,-0.026324983799192788,-0.014423223533051062,0.009192550624795353,-0.015289171262986026,-0.037533320602693224,-0.01555021073253973,0.022843112853729395,-0.025283957532303628,-8.013498726603027e-17
CT,-0.7229662418676013,0.06324479647914034,-0.2437600055931188,-0.11166462088218407,-0.0778148158018766,0.015184462501489422,0.22328662084777767,-0.014097988859300307,0.17400840539897955,-0.035368086540271064,0.06049467180168448,-0.0086803348726266,0.17016551883976558,0.04256457845920745,0.4988879971980441,0.1140325652268362,-0.0379746722217377,0.10735907275398653,-0.017567445852755458,0.01909784131293152,-0.03618982118986576,0.1750380045846044,-0.06455519397571265,-0.014600014597799513,0.030399877051175587,0.056232302673461076,-0.012082885630985257,-4.4957690739875913e-17
DC,0.06794034745198681,0.019111374013206513,-0.07322049939640017,-0.019641840856280696,-0.27663487842944584,0.2511788962478347,0.3727373665543104,0.00012619685292521914,-0.12711368048306398,0.13542962520568141,0.8345218407981906,-0.06420928707431207,-1.6084750400997055e-05,-0.010443892026791737,-0.03359287365735164,0.0929124113060077,0.0530033887835166,-0.003134781445141698,0.0012494509304672424,0.0007172439298898873,0.001986776844685924,0.00010162886693308794,0.0015031442187116197,-0.0026857348613493065,-0.00025918387538325597,0.002068682483791913,-0.0002941037834371401,-9.443907801676839e-19
DE,-0.4428306721227247,0.1147971394305637,-0.7005283267178115,-0.02909514944129555,-0.05852611619875719,0.2602429552962315,0.10119858320252823,0.09501012210536781,0.061694647941968696,0.15359077433255508,0.1078864603773081,0.13914650652043678,-0.10041973287709462,0.0033652481796080285,0.24048033553724876,0.1160001619077039,0.21347878383779156,-0.0011087570353143844,-0.013028420231345518,-0.005603077398541801,0.23739555621881556,-0.002939800052190865,-0.030383749181708615,0.05265423885357456,0.00577147298042943,-0.0007944780066817085,0.010154123495186377,-1.03962041817191e-17
FL,0.9602987337665408,-0.016341261040436726,-0.13680604550579256,0.09928446309630826,0.05606103099214532,0.09432007653812147,-0.07312597975492258,-0.09763771627001872,0.0455474056343247,0.07452014367161651,-0.03648693772782923,0.09365876059040293,-0.03083185161024177,0.0117756542878548,0.12992237342537702,0.09879732581813717,-0.016994450704025253,0.08735246123219957,0.006796187663264537,-0.042230642293945096,0.028708717941107003,-0.032893602658983334,-0.011677022087351104,0.0328467085326924,-0.02530459291792886,-0.01012669842636659,0.0053965482678855654,-2.276657979528923e-16
GA,0.945644264292411,0.08166840286830486,-0.10708256615909369,0.0038113070785240053,-0.052576871337476155,0.05333267778698935,-0.22790534505893253,0.04132470608146758,-0.04643496976034516,-0.02446959950318786,-0.025908170739273016,-0.0674452620651257,-0.022030124913352222,0.026990741105124654,-0.15948703543241763,-0.053615416480500805,-0.1051713075808331,-0.04315380429267853,0.002115016256413036,-0.006354010937121344,0.09088511798735938,0.005387573281337833,0.0318211464452584,0.016151377773068576,-0.04486191645271131,-0.05524846357837263,0.017043056889982713,1.1253517147017565e-17
HI,-0.0846841032142443,0.059000859949356804,-0.13437546549864682,0.028267243456203118,-0.15832054790939462,0.03574642688390216,0.22690117105840035,0.028190342265226275,0.9361510797281184,0.07769442912974324,-0.0935730758699508,-0.010595309316017616,0.005259503131001724,0.00629602794985129,0.1776252997817417,0.07370022225595585,0.02244688096265775,0.0052383269685383465,0.0018636569958666908,-0.0010243190363602589,0.003601189505765731,0.0037375880437852792,-0.0020446907008519213,0.0015797299749251582,0.000950833043900375,-0.0016988941158309417,0.0004941922466674906,-2.5040644490094933e-18
IA,-0.589489665742152,-0.19689846153884763,0.5697059097824443,0.08366044530250787,0.23997999321718635,0.19791329223888632,-0.047900996000943795,-0.0843840291360924,0.024009326028423317,0.1514344475764599,0.1316729677850556,0.06258260525916427,-0.034861118348855746,-0.22589336250618736,-0.14782100262989098,-0.03554768708966107,0.21516501131339497,0.07098057334201287,0.00262958208061868,0.1153862794509293,0.03360576365560839,-0.027815369805102977,0.13503587592621877,0.018187844654836513,-0.0720812180311215,-0.05085596960449318,0.0020384668425587923,-5.397193004954891e-17
ID,0.833891482120234,-0.03530053663465108,0.2768150219250209,0.11115924740029007,0.09583093207037616,-0.3013576334026908,-0.1106698868027591,0.03562798791168589,-0.08623483729979725,0.03770605256021949,-0.06391406849213718,0.03415831637706222,0.03423876345616804,0.050440486125572614,-0.07804557781964622,-0.2896667288505057,-0.06257731263930146,0.018853842344611148,-0.1300409303052105,0.03336237038398931,0.005931701832961745,0.020998728273191623,-0.011964452153642153,0.03765662211673764,-0.06473171885209662,-0.008785992346573505,0.038620975494648366,1.3226379471493087e-16
IL,-0.7647195839691554,0.028239007433330444,-0.02436734133893188,-0.12375525204328687,0.02113689997696589,0.2782199308817693,0.4138487592796005,0.022732646574249494,0.10245497061570868,0.09581760904635339,0.2681568059912973,-0.21594386043300648,0.06025659351250369,0.005145736398455734,0.11341766350595842,0.10855274553933203,0.02215868309249684,-0.0625074248950411,0.0003288616994677004,-0.04450682029556173,0.0026902439871176725,0.040900000639388444,-0.05722473405087649,0.025492788458104643,0.07425289861297689,-0.04117427476774318,-0.013369096215883693,3.417152313387155e-17
IN,0.5640447918329711,0.002368561117506808,0.05050033518385904,0.11724948731619039,0.05773310563658157,-0.0022337809489697,-0.7371723568092842,0.12898178337262353,0.08661440902729159,0.16265544119384753,0.1326834434756417,0.19790618768302326,-0.10119770731717102,0.13420937672128722,0.019669281202579523,-0.003074984111124764,0.06751717163477465,-0.02908038474753928,-0.01783577961768839,0.0016243260220463321,0.002094804533592657,-0.035351486251710404,-0.08337414161048808,0.06444046124416289,-0.030659185559267985,0.015379596172612163,-0.023455724209680392,-1.232212020828561e-16
KS,0.22812661963993675,-0.13506726818258744,0.19593404022858335,0.8563016349734586,-0.06486482101427103,-0.03204538556675266,-0.19395847197296262,0.12436059446315165,-0.16929746267265244,0.05202789064174514,-0.1218011085305523,0.17468376411680786,-0.06680969444412034,-0.03492733096120719,-0.16517849096701337,0.08824021754675239,0.10156105104060238,0.061769406712032494,0.031098519172590038,0.03741299216809077,-0.0030196675160758957,-0.012797328188090859,0.016229439470715017,0.02970917252032783,0.012972343375048979,-0.032612106393522085,0.01642524141231846,6.965581435174102e-17
KY,0.5478899469169439,-0.07860350265373736,-0.020397534921120994,0.01669893298110674,0.18642495283041774,-0.13713969945641893,-0.7137026434269409,0.001384432146126096,-0.12503768034769028,0.035058712466221435,-0.17134522028851124,0.16915644986623854,-0.02764029938463527,-0.13706268611482303,-0.17420461013302416,-0.15357255928339242,0.032109710562309955,-0.04120992917831238,0.022231348876226877,0.05367767007744462,-0.029463809069756444,-0.03232600931281624,0.07568114820142144,0.06941934667835055,0.011774310457297207,0.003889020449263369,-0.0028925586025568837,1.6455357260129396e-16
LA,0.9334167279660074,-0.04343592907606202,0.13117732541649235,-0.0353787934699173,0.0895228719129534,-0.017885244747061515,-0.23202176323427023,-0.028279561720414993,-0.07723746367310215,-0.1282500656452302,0.05062801171202053,-0.07034899644893756,0.03464949313792658,0.011704950034845753,0.09009700666890756,0.058171363922721826,-0.12955704901328746,0.04982716745121556,0.002067353505872246,-0.04818533979025538,-0.036602268346206786,0.11863470538252942,-0.03885634617472459,-0.021220084616752424,-0.024510257189066655,-0.002081004808340735,-0.010886704064169599,5.638773631334134e-17
MA,-0.9200395509515207,0.02327725302183204,0.0024342392018553488,-0.08602488522939952,-0.10979676551529542,-0.08548782266147455,0.13737901894607024,-0.04564155440973489,-0.08353513264410788,-0.08702735498839666,-0.0058972896177131905,-0.050628729787048764,-0.028383192599378982,-0.04805756777007741,0.2986392067238723,0.023810216191031672,-0.09380986935118953,0.08152608471508269,-0.018032123344716062,-0.010307170495130566,-0.050174855724843884,-0.005367836443239528,-0.02032042975743462,-0.06604051843655208,0.05977493217799441,0.07264045415845508,0.015190488322567287,3.6356171404161084e-17
MD,-0.2541120438151406,0.06783969138652757,-0.31655695831457176,0.15936314412783262,-0.25983971245664655,0.1767941784070458,0.2397752246537466,0.07202546831298477,0.1688193312078982,0.18095742896676617,0.15093343987125094,-0.13390241839269812,0.02856909353326194,0.014457600336119519,0.26830307228426353,0.6982494720800045,0.1337664777970916,0.003487951797737351,-0.01364816824026896,0.0006410630434414524,0.0008930747420758811,0.007044793230067987,-0.0008435440739714003,0.007762721505402018,-0.001053106821532476,0.004919455310574813,0.00740628066698402,2.3381414129906483e-17
ME-01,0.003631489223978917,0.5831354389393144,-0.35284004009830167,-0.04557984932735911,-0.12320692403644497,-0.015201404336051435,0.4116467971743268,0.13007998693325398,0.42356868165506384,0.04432806720728924,0.08663857828657344,-0.17288232194036518,0.018784402065884397,0.06411843985383929,0.3480611457972501,0.14397741049660612,-0.04382094112413628,-0.012098142586568574,0.01473468588141724,0.004116344567272691,-0.009823722157122235,-0.027679725184303887,-0.0019322451198742331,0.0026044177298333543,-0.0063102554400562075,0.01638830101184532,-0.005105372151565111,-1.3803293107256287e-17
ME-02,-0.03202665759520136,0.3690790883111088,0.11954825284348063,-0.173959051558182,0.8150311861023215,0.1613364261432307,-0.1938602624013151,-0.10247936689566203,0.0500111321560473,-0.04332058211092154,-0.09638543389182777,0.22328391202263098,-0.02751271462527386,-0.08918315982674835,0.08335439620551394,-0.027319892741512895,0.012475245987005201,0.06995970934437876,-0.016712349845212002,-0.01166352567439658,0.09082683132636013,0.12951359713373004,-0.010810245519804595,0.010605363304756196,0.029583034435610587,-0.07067532300805159,0.018238703848394756,5.47505432826435e-17
ME-AL,-0.775188752804368,-0.015521297080466625,-0.20867690532884417,0.10228007204321435,0.10967834184811588,0.04490661487593725,0.15738542622382776,0.02845891762117313,0.09069652221485142,-0.15295375313193577,-0.11058684881133901,0.217088520377633,-0.14144096658428645,-0.217447051350548,0.3163216277699858,0.23746403732379695,-0.01896344125370265,0.129687965017189,-0.008155657656324849,-0.015282291810465459,-0.004181202038880768,-0.04960216673923781,-0.009931895081709222,0.019189292662674697,0.04185064012767345,-0.07314697341494904,-0.002238669882891235,-2.3626328717861715e-16
MI,-0.7806242516968491,0.13344275665194394,0.018632390172692158,-0.036808050125249674,0.1753934087648327,-0.11902766667116889,0.39065904503057075,-0.008622457266454891,0.04907551776571909,-0.12782755293424494,-0.09013085067768271,0.18635201107631544,-0.07530791011553581,0.03293061325641793,-0.22149305579590123,-0.19026428531633977,0.027211824299795576,0.04427434815716281,-0.001859595073677602,-0.0006994026529423532,0.07646088008130311,0.0017119492464902461,0.08176240381133025,0.20406581872100624,-0.005038310621065283,-0.0033254027318077367,0.001424533329045611,-3.918357941782911e-18
MN,-0.6212647964827744,0.05828734494674927,0.4937347325827638,-0.023649437170413772,0.009945760315872835,0.00113225586838507,0.1845677980376955,0.07989809665551312,-0.17196962572493688,-0.1876267589606606,0.013265919324807635,0.04078869431247734,-0.029387632858285453,-0.17817947518165222,-0.4387177690834898,-0.18834773226502496,-0.06413765472433218,0.033442039591083154,-0.012428172776431566,0.050637596583063674,-0.03217993304980496,-0.12848263533664392,0.029884371870698694,-0.05746215528602258,0.06329138491998851,0.029016771442381312,-0.03276789495046836,-2.1319306367457823e-17
MO,0.4034626037637878,0.050456355355504315,0.15287710131521615,0.1204473518930299,0.28739458654254635,-0.09268524016452621,-0.7677511631399988,-0.03298674789446385,-0.031537546647285766,0.13442044895296038,-0.07228744618053398,-0.045688347228312436,-0.04850932729238358,0.043609725334021514,-0.2021701621964279,-0.22848051035669328,0.07292896627275393,-0.023845138139898504,0.06626257604614798,0.012004001297693068,0.002058904497201825,-0.014696415801217153,0.11724130157437727,0.055839201250865785,0.028365343893235907,0.009802282705558826,-0.00016319894253135546,1.6031743489395617e-16
MS,0.9436101633657353,-0.002060312377788379,-0.0200711542065342,-0.08743967726813219,0.02254436056445088,0.09074320386479118,-0.1792359483684012,-0.004681351752746096,-0.013372789045877293,-0.1592040553219321,0.1708917977027669,-0.10117060083453185,-0.07117069971089421,0.07432817404400985,-0.00981181208881494,-0.0033025670741603733,-0.02384665252284585,0.04152854912340785,-0.00022245079155788606,-0.040184182466625945,0.018366973556687562,0.08870631863783245,-0.04588809158933888,-0.0708624672934333,-0.01946786949434494,-0.038874654213269084,-0.030016674936228317,1.3306102562326614e-17
