,PC1,PC2
AK,-0.10470903268582081,-0.29635751915179365
AL,0.8284233101743016,-0.47458597157976184
AR,0.7348261251148341,-0.6403861288151296
AZ,0.9273581445543522,-0.05433872222017185
CA,-0.36270048200550387,0.7147058065468231
CO,0.1655912961015968,0.4414130138465248
CT,-0.5417754253465192,0.7088852345124523
DC,0.159351776919162,0.4937285662140764
DE,-0.21904420667239127,0.7246134685368889
FL,0.9618147368880682,-0.12830233084160797
GA,0.8983241728894157,-0.36575908321485356
HI,0.07398431973624253,0.5657166025173922
IA,-0.6894848905832851,-0.20324383240201938
ID,0.6900898278410913,-0.615091155837164
IL,-0.6503511204556707,0.6619095518639624
IN,0.5984607521810795,-0.4968169328444847
KS,0.21684247029472709,-0.35133375360119945
KY,0.4466362183241232,-0.777033655391644
LA,0.8580020682247431,-0.4067690999552362
MA,-0.8401238323755694,0.3883062744066318
MD,0.002062026508195858,0.8551239903070154
ME-AL,-0.6872377090461397,0.4707324091011531
MI,-0.8591889188573356,0.1432133879246632
MN,-0.8112484674705367,-0.27448548945319284
MO,0.333651048083852,-0.7935519520240278
MS,0.893151691824666,-0.2854130992083263
MT,0.48913964470314586,-0.6906314316960894
NC,0.903671897422886,-0.2842896360080262
ND,0.10033759232385378,-0.6878647308386047
NE-AL,0.685026359585077,-0.3316796547679649
NH,0.09475471014803355,0.6468287344153755
NJ,-0.5756728401743637,0.7311314063794319
NM,0.6658119661305182,0.3707381531599048
NV,0.6915279166394865,0.08940083287927864
NY,-0.6736131814085955,0.6139166825230497
OH,-0.22849759368909647,-0.23525493354042254
OK,0.7227002714683738,-0.6489351799701699
OR,-0.3161716225191133,0.46330668315915957
PA,-0.8657156722184455,0.09090173040252665
RI,-0.8046370567494224,0.20683590736394558
SC,0.9267704322235946,-0.29871093340915683
SD,-0.08984576084469759,-0.7308665359818405
TN,0.6691540672386739,-0.6602458503987034
TX,0.8988498377476832,-0.37780487033212085
UT,0.7805948442436587,-0.3622071077813108
VA,0.981849853655195,0.05552905670694102
VT,-0.6346492237895005,0.7399958123339436
WA,-0.3223980866668234,0.513235526045679
WI,-0.5221254091192716,-0.14438213205278266
WV,0.06838250864250286,-0.8799116623597397
WY,0.4586598496148984,-0.8336155801615853
