year,PC1,PC2
1916,7.113525329191053,-3.1445078634222647
1920,9.339971862957142,-1.9303966304565159
1924,9.986672947009694,-3.094885245628199
1928,2.53950310346689,-2.518787434017619
1932,6.104409796478588,-4.730362512641361
1936,4.993991025208188,-3.2216097824423144
1940,5.4935590294160885,-1.307986010838332
1944,3.9039055314692535,-1.301510003488115
1948,2.4004184812272666,-3.7646813876422467
1952,1.0984631379756506,-1.673688475197595
1956,1.3967015441169734,-3.6357282126540627
1960,-0.8029340808381721,-1.0705872566067682
1964,-5.218373531254952,-0.7214240562108704
1968,-3.50525673665962,-1.2728794277914062
1972,-4.596112759122533,-1.4710568739031789
1976,-1.219805150264607,-3.008723147487844
1980,-3.0153654991084804,-1.4506128217689287
1984,-3.613578508877962,-1.1227669574202497
1988,-3.6670569122383614,-1.7201513666072885
1992,-2.247118362854741,-0.4104328651851173
1996,-3.65933271649621,1.1468403637345648
2000,-3.9307973653033508,3.8159306935212967
2004,-4.137373750470391,3.8832074193286354
2008,-3.5596032489738536,5.12843078053735
2012,-3.8517307333033517,6.136299832321717
2016,-2.428036735565979,7.480046175608538
2020,-2.5069669941081543,7.717662839620377
2024,-2.411678703076069,7.264360226737793
