,PC1,PC2,PC3
AK,-0.07697611658056586,-0.2410793616720104,-0.19041527568231087
AL,0.8467398907260547,-0.1551631092675461,-0.41700195052012107
AR,0.7617954330769718,-0.25337989704727126,-0.5606346444240107
AZ,0.9538651451446652,-0.09077870030813621,0.10241112007712293
CA,-0.34892978775317157,0.06738121270115742,0.8688790121032863
CO,0.18637829561117936,0.002505476500837115,0.6114331366344857
CT,-0.615906971003686,0.5573154405875819,0.39400130101952885
DC,0.16581602065277015,0.09731252637267856,0.5946802491436854
DE,-0.32881928978816305,0.7924728574546503,0.23198622077147227
FL,0.9526451165718003,0.09911713940787134,-0.16827621905074786
GA,0.905662871267771,-0.05951730161781983,-0.3504590689595038
HI,0.03692646071100751,0.35859530702650216,0.444030243677735
IA,-0.6244380156676903,-0.48027944641579656,0.09635698296590652
ID,0.7598191728551063,-0.4968606883501208,-0.3076985216949947
IL,-0.6717408391123121,0.23341605038522853,0.616498318128983
IN,0.5944236782511945,-0.050628573005576064,-0.5658899050886265
KS,0.27876106644196014,-0.42530058840099044,-0.0637770417431517
KY,0.44875269236921456,-0.16736094444723276,-0.8531623080176992
LA,0.8778176972006461,-0.14469047598290188,-0.3318971347495548
MA,-0.87211442788379,0.21165940153938564,0.24731930520596024
MD,-0.06366842495073587,0.5890566051051759,0.6171174392893894
ME-AL,-0.7466076222238384,0.40191881744083613,0.19971375201801342
MI,-0.8437631280865455,-0.12313235326905793,0.22072252647452986
MN,-0.7297084005357198,-0.6026120915716053,0.09993976393983567
MO,0.3583818658684553,-0.31073176071427033,-0.7553835216686287
MS,0.9009823798135503,-0.04297945091368389,-0.257437906840633
MT,0.5805922976639132,-0.6567687851983577,-0.28340411655098896
NC,0.895078898677137,0.052668605580659715,-0.34254247441700086
ND,0.2221555184218264,-0.8623488817128881,-0.13008531947216362
NE-AL,0.7545321707413949,-0.4261830620587952,0.010427568707415376
NH,-0.002290309583586394,0.7254835559331904,0.21953126968102019
NJ,-0.6389827458622303,0.49776855912250073,0.4752925596588058
NM,0.6478345402488334,0.2487271654697206,0.3401280140276061
NV,0.7395276159345127,-0.19817979617724163,0.37174502586719294
NY,-0.7160219682131116,0.3406760724660356,0.45092416881648106
OH,-0.24987431681898412,0.04656523379325523,-0.38379768075990667
OK,0.7612303937042542,-0.3230009512216766,-0.5095942314970321
OR,-0.27531804393423676,-0.1466280789210655,0.7295926155939358
PA,-0.8923378714793061,0.10544228649499499,-0.060224874347342
RI,-0.8559299924042317,0.2809263777604349,-0.05813285925304162
SC,0.9339503830885005,-0.03978511006511555,-0.2749952704727593
SD,0.01940266074724798,-0.8160143752888713,-0.2497473485466248
TN,0.6819327565054629,-0.1819257800157835,-0.6595665232560727
TX,0.923805720739244,-0.16382888111167293,-0.2710852423301554
UT,0.810428294593516,-0.19764121481706953,-0.23081167853399104
VA,0.9583614097466314,0.2284219367694814,-0.03610084966096433
VT,-0.6792249842685422,0.38735677995856216,0.5825983014371425
WA,-0.2881934464488024,-0.09657084052206358,0.7506322361131276
WI,-0.42592784561272445,-0.6314927199889955,0.3313312016149831
WV,0.07747945486188036,-0.26352525918852293,-0.9420090987836696
WY,0.5248112424670381,-0.548844983892337,-0.5788192763909835
