,PC1,PC2,PC3,PC4
AK,-0.13200644000455522,-0.1607895949022366,-0.3121486976677292,0.3910945560464335
AL,0.8944991955653241,-0.16274363256097177,-0.34119375447930506,-0.1910602727231134
AR,0.8028927498617653,-0.2480521356475892,-0.5090996181041739,-0.13271763104089757
AZ,0.9499206823347206,-0.04610783194650283,0.10658767340496597,0.1308241944556108
CA,-0.3493484044780312,0.03128575727352563,0.8896154434310946,0.004177804305184605
CO,0.06110101900270654,0.14843245642754474,0.40860914436056,0.789353154009874
CT,-0.6556988145347922,0.5446108877477766,0.3660608900497759,0.022187591256239005
DC,0.19636733327391076,0.04847290156141363,0.6738618287618908,-0.16710388466846757
DE,-0.370774657350827,0.7855307980531184,0.21867670447879908,-0.03360905329485835
FL,0.9367193241945002,0.1548364730555809,-0.17770306168748812,0.12093101236747993
GA,0.9361182746948764,-0.05002120859244857,-0.29532569563929045,-0.11319908411237693
HI,-0.0281909784013875,0.41130163978697437,0.36803221556396193,0.29106005746630714
IA,-0.6218942582364202,-0.4860160099007792,0.056602020622256756,0.10859040395064821
ID,0.7623065268919704,-0.43807228181451685,-0.3365996855328917,0.19341649860825763
IL,-0.6579152050963517,0.1645760262806699,0.6634365122888954,-0.17536014480961867
IN,0.5618414348409786,0.027662314394213475,-0.6320500892092612,0.2210250784273397
KS,0.1860311046871875,-0.27870397560398125,-0.2572226148453956,0.710683474050898
KY,0.4549240773969152,-0.12965651770744097,-0.8693215048372014,0.004272632405959986
LA,0.9026022177033165,-0.12552930401111223,-0.2932575631378204,-0.05152376880444303
MA,-0.887977248331199,0.18039908717666422,0.2275048136333538,-0.02862903773556316
MD,-0.12700707816068815,0.6201754721342306,0.5645633814596647,0.2043853850131584
ME-AL,-0.8067036323430976,0.42092246931678995,0.11699890771210747,0.17442788948168242
MI,-0.8410815844662505,-0.1584154262596457,0.20799574576558613,-0.023297905256814005
MN,-0.6793537005124443,-0.664594402815431,0.13379647459460026,-0.13991056803041602
MO,0.36295482707295346,-0.26963146185528103,-0.7842740536559665,0.06174429022792026
MS,0.9403073526746056,-0.0473724913338987,-0.1830817721793925,-0.16624266938085103
MT,0.5788882390275937,-0.5924560972953208,-0.33418285445802104,0.2610346778346608
NC,0.9160368349569176,0.06748657341843749,-0.2956328353926596,-0.09570582855159411
ND,0.24014631054209343,-0.8292300331595301,-0.1636204922702152,0.19726210237483613
NE-AL,0.6918728688652367,-0.2990289690115311,-0.12031742662149472,0.5726342080344277
NH,-0.09286032361793474,0.7941998740203143,0.12013826157601769,0.30020531771106085
NJ,-0.6554501253389892,0.45695111044915154,0.48574670667414,-0.09237225029980893
NM,0.5848020475946618,0.33082955682906634,0.2667277148790263,0.3554041004694056
NV,0.7098084083610231,-0.13123978228246375,0.3255132597106591,0.3197885797636077
NY,-0.7246900372289694,0.295773216433295,0.46134258386652316,-0.09190479979852009
OH,-0.3208575667854774,0.12932332343824463,-0.519541458909053,0.3630781934583783
OK,0.7675798361630748,-0.2730691517812262,-0.523519579008127,0.09950429329312267
OR,-0.3321859274394555,-0.09727643797706916,0.6318846129912986,0.40851424724374374
PA,-0.8692892763162636,0.03827484848008111,-0.027437748518243543,-0.24181539224908055
RI,-0.8633551859363648,0.24340108211242556,-0.06522716654619831,-0.11877479217720531
SC,0.9444357820765618,-0.0075620059756057005,-0.25130173117248283,0.0046351180510992036
SD,0.00847669045727434,-0.7553590928178113,-0.33720577938109403,0.33048664135978245
TN,0.7284818458145922,-0.18775312246978776,-0.5967518489360676,-0.2010426183942825
TX,0.9101844885062195,-0.09653415198526082,-0.29952812661775235,0.18908187580124483
UT,0.8071563943944152,-0.14660936763463306,-0.2443473324390824,0.13339759486260241
VA,0.9222512994894576,0.2994628345870284,-0.06793383813776893,0.20420392476905821
VT,-0.7223406412652755,0.380515290730825,0.539590122814094,0.10623346821237736
WA,-0.2974136785600165,-0.1086773350022786,0.7413127589354841,0.10989087618058878
WI,-0.39180544873865275,-0.6654840293633685,0.3450729297752985,0.0018698425185089903
WV,0.10915867314920141,-0.2646659276467315,-0.9286566713021888,-0.14631383466359524
WY,0.528688699199125,-0.49232724504281583,-0.6198978934655784,0.16982861333347093
