,PC1,PC2,PC3,PC4,PC5
AK,-0.09632723580885745,-0.03218103349777195,-0.09293341394604301,0.24552508741220824,0.6887294489795832
AL,0.9082515325146879,-0.08266423110883481,-0.3208560335234501,-0.19287539165086828,0.1067158347728163
AR,0.8154205511305627,-0.1859908632760827,-0.5056450490933402,-0.12905688430460066,0.11284885863887921
AZ,0.9509381686810694,0.010522375639577176,0.1084800725082828,0.14571086172219389,0.0001999114334424549
CA,-0.3351631568250338,0.028832721135488803,0.9256483831456417,-0.0236194704806736,-0.07046675469931717
CO,0.049362228571998214,0.1629099691526536,0.47039959138098086,0.7569416708752901,0.158020350265689
CT,-0.6845584015402504,0.4943159708103387,0.36191429012061105,0.033115441781280716,-0.14221277491208875
DC,0.17894374894063983,-0.03533592070966851,0.5282299063798646,-0.07062107363841683,-0.5244696898524687
DE,-0.4252438860606715,0.7114792020824001,0.15089595929933297,0.03155115337068641,-0.3195703442757083
FL,0.9206750783374563,0.20151859462705363,-0.19005184167341987,0.15207596658764735,-0.0124181966563048
GA,0.9400067079046944,0.02142551594863648,-0.2861629937565613,-0.10304804945101968,0.06363683951541718
HI,-0.05209918710901484,0.4055168280694503,0.38388713790288553,0.29604961886779657,-0.046101696967726424
IA,-0.6190616075771703,-0.6166435403288102,-0.07604924767394095,0.16089718855884602,-0.2690082682914328
ID,0.8001213696344782,-0.313565405842463,-0.22032984093491523,0.11850210190604475,0.43555526373444614
IL,-0.675682854262027,0.050036521119059395,0.5529918536743027,-0.11250441270300171,-0.44235435944733015
IN,0.5328875425261271,0.00011514430911190902,-0.7179242426093101,0.2859326620307374,-0.08705058710874429
KS,0.17951672075828534,-0.30182768293850665,-0.2753965185499985,0.7142248618520719,0.12029356145476008
KY,0.45633468775125885,-0.08262577921968042,-0.8497391578890593,-0.004333648944996916,0.22293495709545816
LA,0.9058874577890944,-0.07161853308334729,-0.3042152645959278,-0.032401908850501634,0.029187577898859937
MA,-0.8929197445265811,0.1316945032337297,0.24053404187978578,-0.04660633639352349,-0.028825350106338767
MD,-0.19078239714036532,0.4871339940145994,0.40056052785808594,0.3276007572526355,-0.5812040756417959
ME-AL,-0.8333449152043637,0.36248634385815637,0.12016264379813037,0.17308326303565208,-0.042467195845639225
MI,-0.8067491982599768,-0.12608265625275134,0.3333531590445204,-0.12326633584741252,0.30857096215753643
MN,-0.6294267319473236,-0.6744843155765828,0.1704856280729312,-0.20074006649440412,0.1465287730437156
MO,0.3618396497470007,-0.2692111032686233,-0.8224360523451212,0.08200115887698703,0.08523245524956748
MS,0.9395164960493543,-0.0010174433040406974,-0.2133177789415998,-0.13130908012751932,-0.06468329506955856
MT,0.6239849198205502,-0.48166524457692267,-0.21873716420271272,0.1772326979192999,0.4628906220357826
NC,0.9114682235047507,0.1316756775079705,-0.2933308369783397,-0.07720545156466843,0.03268245204718944
ND,0.28388020834808814,-0.8077359191924471,-0.15246828853846858,0.16310066507826895,0.19030551528064488
NE-AL,0.6850430629637361,-0.3092216260259971,-0.17330558297442292,0.6067821498606685,-0.011457348811072745
NH,-0.1441661094106235,0.7743241503357343,0.1233465359060806,0.32639546396543173,-0.08278596471342425
NJ,-0.6797479421696021,0.3934640303172979,0.456119235949008,-0.06878429744416183,-0.23142166784457038
NM,0.5322909267959156,0.245699957307746,0.11004593323818554,0.47632673304101525,-0.45699152214333494
NV,0.7204801467599476,-0.07147515570657748,0.36537495840892675,0.3030843494052831,0.09341539432543985
NY,-0.7553174713716655,0.17004460791025003,0.3447717445068007,-0.021594238320973548,-0.4283316222103044
OH,-0.32587206650613804,0.16121894040947207,-0.4257653457593885,0.3031403981503622,0.3637643561270747
OK,0.7792150438630493,-0.2089475023394087,-0.5017223915112305,0.08989875469525888,0.1937786245787575
OR,-0.3388341882569986,-0.17231275932498807,0.5776500795739788,0.4319852512926265,-0.19040083696243115
PA,-0.8532092138942635,0.04077615122137497,0.044989662978888394,-0.30166760574487933,0.16355477183670053
RI,-0.8720338279190112,0.20436176236789041,-0.04658153667459358,-0.13732381095103297,0.019612643428416916
SC,0.9364791812983433,0.03261678869729282,-0.28211259345735,0.04135335209959815,-0.038749183286190834
SD,0.03192876398263736,-0.7949615618652106,-0.3880430213933096,0.33324236474773705,0.07038337083847933
TN,0.7338109486841279,-0.14451095904532701,-0.6178218753342871,-0.18115553420641617,0.05021531913881618
TX,0.9148007619370282,-0.017597367161348753,-0.26128872081656773,0.1785731331933783,0.18139577925439973
UT,0.8347505311688457,-0.0028454045644226273,-0.10379375652480405,0.0553542068616603,0.43495120358538303
VA,0.8884339914591228,0.3079342663282347,-0.12881932990300632,0.27074498561879584,-0.166283796215339
VT,-0.7535264095930835,0.27809666411074474,0.46902654273430133,0.15096881903354112,-0.3121176069245385
WA,-0.2680326659880934,-0.06743890865326513,0.8402502978733624,0.038450122492013024,0.1488921903268555
WI,-0.36885794829142693,-0.7624696500423368,0.2353452859190851,0.037532152852755706,-0.25315007809231477
WV,0.1228986269934121,-0.22708706533519835,-0.9002507261605163,-0.17194438255936279,0.25896289581602433
WY,0.5700039207264356,-0.3691858190670429,-0.4875410055654137,0.07841971409025857,0.5345516089479257
