,PC1,PC2,PC3,PC4,PC5,PC6
AK,-0.09902981443584663,-0.1308960526032663,0.12496468316924814,0.1626455631633472,0.7440784222005299,-0.0995892775232168
AL,0.8891551193676263,0.0327636611243335,-0.3112819946972054,-0.08980208953126267,0.06305262352879604,-0.31829981458483275
AR,0.7948282551502257,-0.15717848583528116,-0.19693357839246364,-0.11082481227137893,0.12134236839856545,-0.5173819551751161
AZ,0.9570886212595114,-0.07548180292371251,0.07483810887130224,0.04194780512012205,0.041948738035941714,0.10381195310321939
CA,-0.3301840275605114,0.07658356085080528,-0.02997859767936973,-0.015304964841779664,-0.10454683739615515,0.9352917526632283
CO,0.09579421577594567,0.07513057275611945,0.28434052866218784,0.7082720613249499,0.14117805190802754,0.5207255420452626
CT,-0.6575228368526637,0.2623857923620684,0.5632149525381056,-0.18133351626099056,-0.032503361389742566,0.332397032283629
DC,0.1861212638987006,0.061263956256021455,-0.1333216953000257,-0.006670539892696411,-0.5882726868156096,0.5464343604005099
DE,-0.38569784775490423,0.7333668756272647,0.24622433281083977,0.11400673446082367,-0.3756579238248649,0.178522472711612
FL,0.9347514307022825,0.15279623079740695,0.08039014502874997,0.12075132460058201,-0.0015470709694868027,-0.1822826341291116
GA,0.9309623483708565,0.0897483949988881,-0.19530340575777344,-0.03782805608430188,0.035318071066703316,-0.2822894624283612
HI,-0.01762174179676615,0.1707228481718548,0.523334155061248,0.07907544082346815,0.05065533771174903,0.3730846650516911
IA,-0.6282803871742023,-0.5499482435921913,-0.18012701379006665,0.21159256057587855,-0.30362069249394164,-0.060269402040174225
ID,0.7820248957111791,-0.28838630934715015,-0.21467661787111605,0.12691875493805438,0.43662596475498944,-0.2177231267269735
IL,-0.6675277086350238,-0.007580694846681705,0.17645711433633052,-0.19653669094691759,-0.413615203482356,0.538453877530217
IN,0.54720636014925,-0.04092863146237507,0.06888746593761735,0.2927735927893732,-0.08437176280568161,-0.7011522471163542
KS,0.20344814268246278,-0.22291715784489413,-0.11484713583929652,0.8422535361725002,0.028621989093397977,-0.20668746702494956
KY,0.4449016336707679,0.025159926044360344,-0.24270938487268146,0.14197635521667823,0.17080121259267864,-0.8337868645958194
LA,0.8970803477811989,-0.15008154813335428,0.010820997165844505,-0.12547477509604998,0.08720489594540058,-0.32525694661686044
MA,-0.8871128984521638,0.006826540418602138,0.2925449192035037,-0.1705648813614199,0.04096546906847683,0.2156696100878459
MD,-0.13927930655671805,0.2835199609966367,0.5639622634754958,0.1547981956890739,-0.521817356456352,0.4064820200303644
ME-AL,-0.8057491220093397,0.2792682453175337,0.3311960828468925,0.1348331457010763,-0.02662292468418833,0.12804948266445917
MI,-0.8217665283869062,0.041949243481945855,-0.2637558029697707,0.03493321338840049,0.22579485215478565,0.35041549979021547
MN,-0.6687079675593145,-0.4604251181940361,-0.507603525528907,-0.037275665747716145,0.064167902791526,0.17863893484783464
