,PC1,PC2,PC3,PC4,PC5,PC6,PC7
AK,-0.10639136734739661,-0.12868088299098568,-0.06428429068525551,0.16360095005511166,0.8853430673017325,-0.12525586815048126,-0.014070429575789535
AL,0.9144398085607276,-0.0031148743437780556,-0.06821038222096631,-0.09813677329469432,-0.010429647000427153,-0.3003794336399426,0.24957798611461451
AR,0.8191840223090017,-0.20100860844714574,-0.08658385519624173,-0.12192330976450531,0.004171917766889156,-0.5032416739123886,0.12106457296525651
AZ,0.9493404970080415,-0.08056949291876278,0.08243139087871419,0.052229545484589114,0.02305218795234544,0.10576734822762021,-0.12948252412031624
CA,-0.33134142165768865,0.0702605730118831,-0.021865081687908138,-0.03420780946475028,-0.11682087369458863,0.9382354600826533,-0.009895371458770974
CO,0.07761493345489397,0.09041434131560595,-0.06908192788468978,0.6950883604301096,0.19100763825451073,0.5155329521622125,-0.29366151130984675
CT,-0.6931538185519425,0.29976458304010917,0.1365468381888925,-0.17330744402530254,0.05833682017139559,0.30348101888580437,-0.49839430470575175
DC,0.13531653624438877,0.17847135430718128,0.5199980725068011,0.09361465571744039,-0.30331492367612034,0.5398078803283348,0.2755816792971553
DE,-0.4032718834781318,0.7752597973039527,0.056790967635889804,0.11424730255272998,-0.2890285866804264,0.1749227561938134,-0.19917867247374535
FL,0.9417339262851587,0.1273103194127041,-0.05222273658375679,0.10604770449258441,-0.08865800652347343,-0.17202242781590452,-0.168914595678202
GA,0.9431928344211121,0.0740788996776658,0.00634434332656148,-0.03296684977295472,0.013775709856442298,-0.2706010389014069,0.1609781127145053
HI,-0.014779670246011605,0.11765715509348312,-0.20448589429612873,0.014882705605688927,-0.14496386913360468,0.37128152096393247,-0.6735429097583068
IA,-0.6187453556714599,-0.5546530136296505,-0.058790696699034035,0.20981661598822413,-0.4183891911829621,-0.04461778205837126,0.12781420798962642
ID,0.8109613562679661,-0.34891108318242997,-0.19890161131509745,0.09784563009957495,0.3262213856954891,-0.20607746027309543,0.13247476348802045
IL,-0.6999163098155364,0.04783719444635179,0.25006717460930156,-0.16137329333232603,-0.32417680304242313,0.5266692890724284,-0.12327848041383624
IN,0.5393721171049545,-0.01914547348722195,0.06104310771658749,0.3176536570485527,-0.06677422106873433,-0.6980304363888776,-0.05428762923067918
KS,0.1975168800406745,-0.19265255364290754,-0.039726417420328605,0.8598247313287147,0.09888908728205584,-0.19809532120601328,0.14899633200089973
KY,0.47830612694725133,-0.01670974128018921,-0.2104486521355805,0.11826390959368326,0.07459985550840202,-0.8170331239503628,0.2042628991306272
LA,0.8927856574924528,-0.15274573006365197,0.1084471728002104,-0.10348734678148298,0.08155172182769385,-0.32596340017440173,-0.029727524503370215
MA,-0.9172944698560461,0.053738030426354215,0.15340635455675086,-0.1456111278136908,0.18356547965878986,0.1883687136471623,-0.1744323968804455
MD,-0.2156402494939826,0.41214983976114405,0.5000968149681143,0.23949370781770576,-0.2467474141768561,0.3778358474894457,-0.4192257773815201
ME-AL,-0.8113993807935233,0.2803578034595392,-0.11440062703159713,0.10517748327804982,-0.04237836282817618,0.11894902564050701,-0.3239306176728572
MI,-0.7711334330516145,-0.04458073474556913,-0.44838005654335306,-0.05351833541280544,0.02957093032760215,0.36867936122239914,0.15863089229078192
MN,-0.6403883996117293,-0.48718674610021245,-0.13567541053210908,-0.05037279809953515,0.011542338031341732,0.192668097616697,0.5010149635170136
MO,0.3726301490114154,-0.24040193217145353,-0.12219048670550395,0.15686614495492268,-0.028426636850537416,-0.798427084507782,0.15099440999255775
MS,0.928997636739433,0.0009372225268049016,0.12505394794009436,-0.1241634111976449,-0.045587148304869284,-0.21938148077274103,0.0745231273013846
MT,0.640896313095935,-0.49680328021439263,-0.2841796766781938,0.1754337358079098,0.2833930069885348,-0.19062256076398776,0.18517503643091118
NC,0.9200906285272743,0.16048469538498744,-0.006993563263154776,-0.025288911833684986,-0.021003388963238733,-0.2778907757854612,0.07809282109186669
ND,0.26999845717812215,-0.9309167830538749,-0.08980870277554441,0.023937784612506365,0.11075551400135203,-0.16810878527433762,0.04889276788949732
NE-AL,0.6747320014552267,-0.43995249399120456,0.16700271326897834,0.48968381259119326,0.10770369524304166,-0.1682957301907018,-0.18779725319127344
NH,-0.13459015133505076,0.44625863989544085,0.10456151790740989,0.022756096127629147,0.13619877627066868,0.06762870293532688,-0.7987439990204891
NJ,-0.6842070352973211,0.23070611620603595,0.08618460388340535,-0.2542808816322538,-0.125872656883807,0.40770916715028427,-0.4363961417517151
NM,0.5227265095321135,0.1489405574904271,0.36263349479467344,0.3864303884358661,-0.26339777118781277,0.11374093784949267,-0.36636031726142865
NV,0.7259950778119364,-0.31029263578585836,-0.028555547943697225,0.0500939243218407,0.08514385593736977,0.3462806807481899,-0.3774408926575214
NY,-0.7780977984585854,0.02265025314655677,0.2431690698924157,-0.1988641078689445,-0.2586592393384253,0.2906924972063783,-0.39044056252460596
OH,-0.24959031580230467,0.2166664948953894,-0.6072357721504332,0.425732133223998,-0.006706914148886049,-0.3409334620970961,-0.0065052599752464125
OK,0.7969228552057236,-0.20460198343013247,-0.17100671449473662,0.1275616280998371,0.042021310353090355,-0.4729246042419724,0.12055020221387275
OR,-0.3359700060810883,-0.08600632154566058,0.08684261011006505,0.49249573505792055,-0.17684848456783325,0.6243737523593563,0.018285796206914798
PA,-0.8279431099137408,0.22097514569618193,-0.31227888749499694,-0.12018757573746283,-0.04088645487700748,0.07901350165061208,0.2928522181725302
RI,-0.8807193849663587,0.05934420352327592,-0.005977568422697651,-0.2829020576300255,0.12726233597813075,-0.10436107772548618,-0.2776554138699563
SC,0.9285449388407252,-0.04942563368227943,0.12510590005353303,-0.025479036911553732,0.016591195601527463,-0.2958295375254415,-0.08976910176849646
SD,0.016620217062562066,-0.7803227080204007,0.012137798539280636,0.35094286508406297,0.05051126535951352,-0.3713062297785184,0.2062578950217611
TN,0.7437687758240251,-0.07975456045246591,-0.11010345783454197,-0.08569498638601519,-0.10355475680561955,-0.5968034381879374,0.2246522938172506
TX,0.9242071289666058,-0.10128380847326017,-0.05018170014985274,0.11927952963526099,0.15386021515755405,-0.25524639530034554,-0.07479480010595287
UT,0.8346917289215655,-0.11508068864585487,-0.0717510799641065,-0.04540822402533577,0.47229114734637295,-0.12406571495846376,-0.04184123663748971
VA,0.8879436464298709,0.21922968990038597,0.20659444785128947,0.2049392183556328,-0.04388876181485037,-0.12864726559963663,-0.2509471589112513
VT,-0.7562771454210548,0.21882596213358133,0.13812972095273415,0.07228218280816773,-0.20156448383953635,0.45645012994546996,-0.3074308195561751
WA,-0.2377981872914644,0.045101187569201125,-0.2759335789572512,0.1145448218519785,-0.07528883884190164,0.8939521010015932,0.14076488021183126
WI,-0.4120245322970525,-0.7943139145530527,0.22131609212276973,-0.04822188196077896,-0.17678400473424644,0.2059638058371069,0.09005048673404141
WV,0.14658837215026316,-0.14662970122837435,-0.32053838569833915,-0.040746336531424336,0.02817016229581341,-0.8722401097799218,0.28261114914660956
WY,0.5926170776113939,-0.378924624812148,-0.3477806821126556,0.1006245570223244,0.33738164155835193,-0.4628815855711371,0.20166507639944992
