,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
AK,-0.11613941550207801,-0.11829334309214484,-0.13187282508242174,0.12973788474397308,0.9411624511179887,-0.015942149025893363,0.008824184157343854,0.01855495224855047
AL,0.8925426504212912,-0.018922341463847456,-0.31744383810433646,-0.1109957253281376,-0.010927898642687145,0.2796134239666498,-0.06235345261567064,-0.10716589017264544
AR,0.8017662447316242,-0.2164270184799697,-0.5150269580403516,-0.13271862552201827,0.0004983710853031866,0.1536743061242695,-0.0697328021930518,-0.041899333659479454
AZ,0.9633866142292502,-0.09658470799196206,0.10440321092800829,0.07322486838170557,-0.012838012782024392,-0.07238480506546249,0.03717260992198762,0.0151511782168387
CA,-0.32377823124774024,0.0803156943461932,0.935010539752864,-0.02601825705810063,-0.11287339565728498,0.04776569214601254,0.014224331532100478,0.09611801471154409
CO,0.10548373680634152,0.07861163101547113,0.5262008614298327,0.6938195714165801,0.17603811142409861,-0.22965216621842915,-0.17810645046476084,0.12449563630415307
CT,-0.6334214080753464,0.2931681198675583,0.34721769561815075,-0.14436008023665106,-0.0029926116093244755,-0.581766499425083,0.05551152049071065,0.08420324292880343
DC,0.1488895682613065,0.1749821256682419,0.5530335660166024,0.15367548830664018,-0.37787695624275647,0.1200591749674096,0.36857075269630124,-0.38671038448816125
DE,-0.383448961114806,0.7884926853174327,0.17825943804249364,0.12449958168827524,-0.27582459048712066,-0.18207650159138378,0.007672425041804144,0.09381059847260621
FL,0.9531800047699822,0.10749817326595355,-0.1752133114675929,0.11114889702540066,-0.11209027121227957,-0.08765767364078966,-0.10721459239522464,0.07226597790250164
GA,0.924144678122561,0.06872226746559595,-0.29250702187134753,-0.03674792446192718,0.027245391411026176,0.21674032945853364,0.022239999519532788,-0.05614403312006215
HI,-0.02029194025410557,0.185495171126563,0.3175266017114938,0.01806443121131941,0.003991605839315134,-0.2714657034211936,0.07144049570318199,0.7973998891445722
IA,-0.6482626386782671,-0.5307882352307388,-0.06000609993190744,0.2105928332509481,-0.3802378522693299,0.1696700430227137,0.0061677865863093125,0.09155056369664911
ID,0.7938174727787117,-0.3711318557816769,-0.21683656343041188,0.06911730508123007,0.3279247628597933,0.18439783176932362,-0.18364013861674391,-0.024980249991015602
IL,-0.6809456879976016,0.06979357947327873,0.5371959893553178,-0.11927499221568383,-0.34121205845332825,-0.16002872157436335,0.253916039996896,0.03041788273374773
IN,0.524796212103432,-0.011167586249506692,-0.7154586577619186,0.32119865837220957,-0.03672816414748177,-0.002541595978630736,0.045972485808025515,0.03626772326373659
KS,0.18313891535840834,-0.20425066114910034,-0.20185341018516256,0.8438544684511319,0.10264644091856709,0.13743462880770058,-0.15945675519532665,-0.11694061395592989
KY,0.4417539980131755,-0.020053027660176803,-0.8402661363960181,0.07899111200750604,0.12411601068457566,0.24871382196421551,-0.17156885633717833,-0.013589180518475248
LA,0.9095544822361868,-0.18676765365112694,-0.30939303217984715,-0.08658028795809744,0.008032987562517527,-0.0900153777995635,0.010847813240396138,-0.1611511312138356
MA,-0.8763919850025691,0.041742838284083233,0.2349192113897053,-0.1291959651171283,0.11629964498962837,-0.3569808330945085,0.05996566799972113,-0.12988751803362192
MD,-0.18270008677594732,0.45282862361329335,0.37691275106827477,0.3101930635788851,-0.23884584326648856,-0.38812812420200327,0.46008325081818235,0.12843121895354942
ME-AL,-0.768571077264724,0.2600136023663638,0.1604830565113205,0.09985714849286333,-0.09439871839573094,-0.4043283769676131,-0.22992727030017787,0.05429041216406052
MI,-0.7890039420943797,-0.047265988762921256,0.3654397948726318,-0.10856926296820024,0.0675940124783989,0.20230353695473483,-0.36561325106096887,0.11868607806065122
MN,-0.6747176925914947,-0.4898493333525811,0.19111616821345856,-0.07852405363397555,0.01758777764639231,0.41345300235434485,-0.09367747981366925,-0.19728587790108676
MO,0.32720759197313437,-0.2215906870879531,-0.8345281152601565,0.13269730570135022,0.04966167706808312,0.24518956344154272,-0.023971105614616517,0.0832854192790438
MS,0.9341083925565202,-0.022213489961511707,-0.21651968163325475,-0.10678001416777182,-0.09549628321045066,0.045833531894502934,0.0578999596404832,-0.15648758302324975
MT,0.6199699601119422,-0.5245418271247468,-0.19791684530646053,0.13760021544117346,0.2799919864700179,0.22703598337146547,-0.2788711814425898,-0.03438755090324719
NC,0.890239634671087,0.1792750970825791,-0.3200327896726412,-0.029641052648586234,0.04589206792232691,0.22654826027329564,0.09234306043211406,0.10711346397713876
ND,0.2549843250825956,-0.9402165829860553,-0.1704025233010838,0.02062063946905529,0.0980345344285371,0.0740961825822565,-0.04371887638821302,0.024652650530821132
NE-AL,0.6739377416004474,-0.43149985697756627,-0.18144703866724282,0.5151503897988379,0.11640600348577554,-0.10519934669433263,0.14558916904667452,0.08605333038005812
NH,-0.05635592348918043,0.4288736292117887,0.11406486857284799,0.054898733668787364,0.06534149197455848,-0.8172034469322,-0.02572822069997746,0.20778673178290227
NJ,-0.6440782862359171,0.24349055840748074,0.4289589087286689,-0.22679196380068728,-0.1439561405023968,-0.4309999074168921,0.09766993968478863,0.20129577747066257
NM,0.5201611306896144,0.20584547826586005,0.07173983662259825,0.4426156757962332,-0.18575837549158025,-0.1596142296905084,0.4359781721967814,0.30987147577745644
