,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
AK,-0.11460148523615911,-0.10816572756934692,-0.13214425195657453,0.12058130312515944,0.9521316330175311,-0.04099244396288705,-0.034750330794358325,0.03538275199280412,0.0121721390845713
AL,0.8982750872087926,-0.005474201304937443,-0.31838747546101326,-0.0870143407281289,-0.008618009956049685,0.2679662926674289,-0.05966378712010874,-0.0965147963036867,-0.05621332295541861
AR,0.8075285222435428,-0.19984452528553448,-0.5154597121154143,-0.07627719131298542,-0.012613193935628684,0.16237197665668698,-0.11949070520188877,-0.004537692345791069,-0.028052348917371957
AZ,0.9616420833482354,-0.10386282557768399,0.10612823565595737,0.02234639461395033,0.011280362605993613,-0.11118555836841267,0.10733779322484485,-0.03254865155535405,-0.00539894493106512
CA,-0.3238022570257714,0.07225124060983078,0.9367480794098565,-0.08472636550835286,-0.0942159404368398,0.02917445461681798,0.07696845516399545,0.04589132438831759,-0.0220690682536662
CO,0.0971895527038389,0.07554983696638486,0.5403501500169716,0.6970347946788169,0.15493373668208069,-0.23052419938922206,0.10782742064592131,0.13378422385533625,-0.16462529183369792
CT,-0.6447763128252176,0.2761584567723183,0.3385036749830442,-0.1629265347933524,-0.01058748465566248,-0.5879285117840582,-0.02071716899662146,0.06807206103872451,0.06586520741986485
DC,0.14252482948659156,0.1344981001107989,0.546953189783298,-0.04388334258653754,-0.2821467119229122,0.04817267479597024,0.4050214140319,-0.5484803759633435,0.17003896873329036
DE,-0.39347849243493865,0.7515968137994622,0.1793918132418805,0.004372724869959282,-0.2411250033688707,-0.23388830490073792,0.2813640271037199,0.00539694546552162,-0.10987970505886734
FL,0.9507775929980409,0.10846639145576274,-0.17096941894031126,0.12376570356165469,-0.12242704614074937,-0.10233853114739933,0.024363210043982283,0.07306117554670231,-0.09976619791399272
GA,0.9274966769219051,0.08983372388174746,-0.2916879103805852,0.023389551273768364,0.004444321313001668,0.22458809601629978,-0.06137386847641207,-0.022167863990071035,0.05992543279567568
HI,-0.02231366409564289,0.18185173019611367,0.33465944122849467,0.0076427925981384336,-0.03121946310369682,-0.2644972702895908,0.16149588642491844,0.7883970632051687,0.08738829353368462
IA,-0.6432622476203157,-0.5668747153726519,-0.049499437238700233,0.07007462649816958,-0.31032793454559154,0.14964022080954967,0.28420544074745324,0.0019496197517019892,-0.1260531055969665
ID,0.8006811361136047,-0.36640129503146734,-0.21341664827719126,0.044024261532897915,0.3573101627736093,0.1472032178568874,-0.024799692160963345,-0.034862340051435556,-0.20421685168914286
IL,-0.6857358771191935,0.04626857160551618,0.533416592794873,-0.20183803219610638,-0.3139919497557129,-0.16702302034206926,0.1626290580345924,-0.0398657301981456,0.18834529454409685
IN,0.5225506116257289,-0.04093814771059198,-0.7075449101363165,0.20413265100737296,0.017872470218341922,-0.05418762245122932,0.31647448529085537,-0.03974299210802376,-0.08240983405538777
KS,0.18123794434785614,-0.1912404336225901,-0.18515093300893234,0.9135369182725407,0.06732847870994041,0.17912073844910478,0.055248972805235906,-0.052815341640354306,-0.11858536893575776
KY,0.44747599994543025,-0.020105858933164945,-0.8356672712272812,0.06990101215463089,0.1408935236928959,0.22899832860989852,0.02511491891163083,-0.006201156836319362,-0.2024183517249381
LA,0.9090063322561591,-0.17152274688440916,-0.31489558776510995,-0.020425306162672387,-0.012391102110456284,-0.07959843288744177,-0.13941522777848123,-0.12429142835671317,0.06882230538755049
MA,-0.8829477928585321,0.04042023336064149,0.223756897172369,-0.09723034507019122,0.09953831997491726,-0.33420581028196217,-0.13865132348208825,-0.10386143759183647,0.10770317618144346
MD,-0.1978456320031771,0.43887543718686084,0.3808297406709927,0.28692304024532916,-0.26393738665828376,-0.36819782265692214,0.2835038750253804,0.09447065524672693,0.4340861812293985
ME-AL,-0.7767322672734004,0.26038060768973953,0.1592113429480081,0.1765304362506851,-0.14411166276038212,-0.3664984106488436,-0.16042339127711053,0.11609975754921265,-0.1445934684285062
MI,-0.7813418114479649,-0.04530530265925857,0.3682868353570039,-0.10916969475521074,0.07359884348191385,0.1997997568808679,-0.13607711020761087,0.13409053554700967,-0.35057509077700616
MN,-0.6637714355900962,-0.46732775033581375,0.190055423498589,-0.009696143854186956,0.005701067062392467,0.4621431320184618,-0.20847509051632926,-0.13964394854278284,-0.032533812479780204
MO,0.333426590653832,-0.23423905183346255,-0.8260717374552116,0.06609360611205567,0.08993994959410814,0.21795684158098702,0.17535614803472516,0.049555568569482566,-0.10631494406767188
MS,0.9343972232230212,-0.012063629741148,-0.22110806459868937,-0.07580732247006003,-0.10141604783954834,0.04219514168719054,-0.05326944260447883,-0.1487002640592266,0.07600399843431693
MT,0.6285463907616533,-0.5273676557295446,-0.19233615362978707,0.08465394757762071,0.3266512424883241,0.18230390543534714,-0.001067020669073147,-0.05862554685119006,-0.3229409957009751
NC,0.8934607627146032,0.1816783075460728,-0.31554221973628693,-0.06036164677730946,0.05913998674045841,0.19680848067852308,0.12979494473666628,0.07872777410751007,0.04686326849164214
ND,0.26353292732992634,-0.9298820786078542,-0.16596617470073713,0.0475705687194016,0.10282634746191377,0.09695088538582143,-0.09825255884251334,0.050403733240976356,-0.005931260337439844
