year,abbr,D_votes,R_votes,pres_margin,pres_margin_str,electoral_votes,relative_margin,relative_margin_str,relative_margin_delta,relative_margin_delta_str,national_margin,national_margin_str,national_margin_delta,national_margin_delta_str,pres_margin_delta,pres_margin_delta_str
1976,AK,44058,71555,-0.23783657547161652,R+23.8,3,-0.2605834853191234,R+26.1,0,0,0.022746909847506894,D+2.3,0,0,0,0
1980,AK,41842,86112,-0.3459837128968223,R+34.6,3,-0.24283253750837586,R+24.3,0.01775094781074754,D+1.8,-0.10315117538844643,R+10.3,-0.1258980852359533,R+12.6,-0.10814713742520576,R+10.8
1984,AK,62007,138377,-0.38111825295432766,R+38.1,3,-0.1986512291138337,R+19.9,0.04418130839454215,D+4.4,-0.18246702384049396,R+18.2,-0.07931584845204753,R+7.9,-0.03513454005750538,R+3.5
1988,AK,72584,119251,-0.24326634868506788,R+24.3,3,-0.16661724290772134,R+16.7,0.032033986206112364,D+3.2,-0.07664910577734656,R+7.7,0.1058179180631474,D+10.6,0.13785190426925978,D+13.8
1992,AK,78294,102000,-0.13148524077340343,R+13.1,3,-0.20389591654291161,R+20.4,-0.037278673635190274,R+3.7,0.0724106757695082,D+7.2,0.14905978154685476,D+14.9,0.11178110791166446,D+11.2
1996,AK,80380,122746,-0.20857005011667634,R+20.9,3,-0.3046505306336804,R+30.5,-0.1007546140907688,R+10.1,0.09608048051700407,D+9.6,0.023669804747495873,D+2.4,-0.07708480934327291,R+7.7
2000,AK,79004,167398,-0.3587389712745838,R+35.9,3,-0.36387242964406435,R+36.4,-0.05922189901038394,R+5.9,0.005133458369480549,D+0.5,-0.09094702214752352,R+9.1,-0.15016892115790748,R+15.0
2004,AK,111025,190889,-0.2645256596249263,R+26.5,3,-0.23986535950137874,R+24.0,0.12400707014268561,D+12.4,-0.024660300123547554,R+2.5,-0.0297937584930281,R+3.0,0.09421331164965752,D+9.4
2008,AK,123594,193841,-0.22129569833194196,R+22.1,3,-0.2967110439035474,R+29.7,-0.05684568440216867,R+5.7,0.07541534557160545,D+7.5,0.10007564569515301,D+10.0,0.04322996129298434,D+4.3
2012,AK,122640,164676,-0.14630580963120746,R+14.6,3,-0.18649501189679676,R+18.6,0.11021603200675065,D+11.0,0.040189202265589315,D+4.0,-0.03522614330601614,R+3.5,0.0749898887007345,D+7.5
2016,AK,116454,163387,-0.1677130942213614,R+16.8,3,-0.1909471263018185,R+19.1,-0.004452114405021745,R+0.4,0.023234032080457098,D+2.3,-0.016955170185132217,R+1.7,-0.021407284590153952,R+2.1
2020,AK,153778,189951,-0.10523697447698623,R+10.5,3,-0.15059671689956017,R+15.1,0.04035040940225834,D+4.0,0.04535974242257394,D+4.5,0.022125710342116845,D+2.2,0.06247611974437518,D+6.2
2024,AK,140026,184458,-0.1369312508474994,R+13.7,3,-0.12193455941329925,R+12.2,0.028662157486260914,D+2.9,-0.014996691434200151,R+1.5,-0.0603564338567741,R+6.0,-0.03169427637051318,R+3.2
1976,AL,659170,504070,0.13333447955709915,D+13.3,9,0.11058756970959226,D+11.1,0,0,0.022746909847506894,D+2.3,0,0,0,0
1980,AL,636730,654192,-0.013526766140789296,R+1.4,9,0.08962440924765713,D+9.0,-0.020963160461935124,R+2.1,-0.10315117538844643,R+10.3,-0.1258980852359533,R+12.6,-0.14686124569788844,R+14.7
